Date,Close/Last,Volume,Open,High,Low
05/03/2022,21.73,11551,21.72,21.93,21.72
05/02/2022,21.59,20499,21.365,21.59,21.1
04/29/2022,21.3958,8306,22.03,22.03,21.35
04/28/2022,21.9967,3468,21.7,22.07,21.62
04/27/2022,21.5948,36791,21.67,21.783,21.51
04/26/2022,21.5499,2628,21.86,21.87,21.5499
04/25/2022,22.0103,7729,21.69,22.03,21.61
04/22/2022,22.0419,14293,22.6,22.6,22.0419
04/21/2022,22.67,7093,23.28,23.28,22.59
04/20/2022,23.205,7687,23.32,23.32,23.15
04/19/2022,23.0888,13013,23.08,23.25,23.064
04/18/2022,22.9149,6176,22.88,22.995,22.87
04/14/2022,22.79,7239,22.89,22.9,22.79
04/13/2022,22.92,5034,22.74,22.93,22.74
04/12/2022,22.6759,25482,22.83,22.83,22.6
04/11/2022,22.6201,5881,22.7,22.78,22.6201
04/08/2022,22.8493,3627,22.75,22.915,22.75
04/07/2022,22.728,1793,22.67,22.728,22.5872
04/06/2022,22.684,5413,22.75,22.7505,22.662
04/05/2022,22.8244,6119,23.12,23.19,22.8244
04/04/2022,23.0436,2144,22.99,23.0891,22.985
04/01/2022,23.03,12289,23.0887,23.0887,22.8509
03/31/2022,22.9105,9555,23.13,23.16,22.9105
03/30/2022,23.02,5464,23.17,23.17,22.995
03/29/2022,23.1396,4433,23.2,23.2,23.02
03/28/2022,23.0508,1086,23.03,23.0508,22.9892
03/25/2022,23.1474,9502,23.05,23.1474,23.04
03/24/2022,23.0655,6827,23.04,23.0655,23.0399
03/23/2022,22.875,5094,23,23,22.875
03/22/2022,22.95,40583,22.93,23.02,22.86
03/21/2022,22.8345,1070,22.68,22.8345,22.68
03/18/2022,22.6593,611,22.46,22.6593,22.46
03/17/2022,22.54,4896,22.33,22.54,22.3
03/16/2022,22.2399,8841,22.06,22.2399,21.97
03/15/2022,21.8554,4172,21.56,21.8554,21.56
03/14/2022,21.6888,1228,22.06,22.06,21.6888
03/11/2022,21.8905,3903,22.06,22.13,21.8905
03/10/2022,22.1155,2548,22.015,22.1155,21.97
03/09/2022,22.0339,615,21.89,22.0401,21.8501
03/08/2022,21.83,1435,21.71,22.04,21.71
03/07/2022,21.655,951,22.01,22.01,21.655
03/04/2022,22.0599,4448,22.02,22.0599,21.945
03/03/2022,22.235,1647,22.46,22.46,22.09
03/02/2022,22.25,830,21.84,22.25,21.84
03/01/2022,21.75,2069,22.08,22.1611,21.7
02/28/2022,21.96,4328,22.08,22.08,21.8309
02/25/2022,22.06,2544,21.68,22.06,21.68
02/24/2022,21.5939,6445,21.05,21.5939,20.98
02/23/2022,21.3765,8490,21.75,21.78,21.3765
02/22/2022,21.564,1577,21.67,21.78,21.44
02/18/2022,21.77,10938,21.89,21.9499,21.77
02/17/2022,22.1259,12505,22.21,22.21,22.11
02/16/2022,22.4674,10949,22.355,22.539,22.3279
02/15/2022,22.34,5566,22.16,22.35,22.16
02/14/2022,22.1,4894,22.11,22.13,22.02
02/11/2022,22.2563,3594,22.44,22.4993,22.1601
02/10/2022,22.3581,2533,22.67,22.7,22.3581
02/09/2022,22.5769,7104,22.62,22.63,22.57
02/08/2022,22.4343,10536,22,22.46,22
02/07/2022,22.1985,5666,22.2461,22.32,22.15
02/04/2022,22.1806,590,22.04,22.275,22.04
02/03/2022,22.0394,2068,22.32,22.32,22.0394
02/02/2022,22.368,966,22.19,22.395,22.1607
02/01/2022,22.17,2718,21.87,22.19,21.87
01/31/2022,21.9302,1714,21.72,21.9302,21.6
01/28/2022,21.6247,4770,21.14,21.6247,21.14
01/27/2022,21.32,2169,21.57,21.6793,21.29
01/26/2022,21.43,5465,21.75,21.925,21.36
01/25/2022,21.6248,4246,21.36,21.6277,21.105
01/24/2022,21.6492,13127,21.34,21.6721,20.81
01/21/2022,21.4625,1082,21.8,21.8,21.4625
01/20/2022,21.9837,7714,22.24,22.5,21.9837
01/19/2022,22.2835,12533,22.47,22.515,22.2835
01/18/2022,22.4768,12479,22.86,22.86,22.45
01/14/2022,22.7802,7008,22.65,22.8,22.59
01/13/2022,22.6481,268,22.71,22.71,22.6481
01/12/2022,22.71,1941,22.84,22.84,22.62
01/11/2022,22.6811,1074,22.4343,22.6811,22.4343
01/10/2022,22.483,3319,22.32,22.483,22.32
01/07/2022,22.4698,6710,22.4,22.4698,22.37
01/06/2022,22.3469,4421,22.48,22.48,22.34
01/05/2022,22.2184,6178,22.52,22.52,22.2184
01/04/2022,22.4911,3977,22.5,22.5,22.42
01/03/2022,22.25,3077,21.94,22.27,21.94
