Date,Close/Last,Volume,Open,High,Low
04/19/2022,14210.26,--,13882.75,14236.51,13844.74
04/18/2022,13910.76,--,13859.47,13997.93,13788.96
04/14/2022,13893.21,--,14225.47,14235.39,13884.82
04/13/2022,14217.29,--,13939.61,14258.81,13919.48
04/12/2022,13940.24,--,14175.66,14264.74,13882.75
04/11/2022,13990.21,--,14149.6,14187.67,13979.14
04/08/2022,14327.26,--,14450.53,14490.19,14307.68
04/07/2022,14531.81,--,14469.5,14624.24,14315.69
04/06/2022,14498.88,--,14600.3,14639.35,14395.4
04/05/2022,14820.64,--,15109.27,15120.67,14782.57
04/04/2022,15159.58,--,14903.38,15161.89,14884.57
04/01/2022,14861.21,--,14886.91,14925.93,14723.83
03/31/2022,14838.49,--,15074.23,15088.38,14835.16
03/30/2022,15071.55,--,15177.15,15229.01,15010.34
03/29/2022,15239.32,--,15142.93,15265.42,15039.61
03/28/2022,14987.4,--,14763.16,14989.08,14705.92
03/25/2022,14754.31,--,14766.9,14805.88,14577.59
03/24/2022,14765.69,--,14529.72,14767.73,14440.67
03/23/2022,14447.55,--,14525.22,14681.33,14446.04
03/22/2022,14654.33,--,14396.03,14688.97,14385.55
03/21/2022,14376.09,--,14377.15,14470.68,14190.53
03/18/2022,14420.08,--,14061.29,14427.47,14014.43
03/17/2022,14118.6,--,13878.99,14125.67,13827.34
03/16/2022,13956.78,--,13633.12,13960.25,13475.09
03/15/2022,13458.56,--,13174.97,13488.18,13092.45
03/14/2022,13046.64,--,13248.09,13386.67,13020.4
03/11/2022,13301.83,--,13701.8,13714.44,13285.19
03/10/2022,13591,--,13577.84,13633.69,13399.46
03/09/2022,13742.2,--,13610.48,13793.11,13504.48
03/08/2022,13267.6,--,13275.23,13663.27,13129.4
03/07/2022,13319.38,--,13853.53,13879.1,13314.44
03/04/2022,13837.83,--,13957.6,13992.97,13738.61
03/03/2022,14035.21,--,14339.7,14342.56,13965.11
03/02/2022,14243.69,--,14075.11,14292.72,13962.69
03/01/2022,14005.99,--,14197.66,14271.58,13906.92
02/28/2022,14237.81,--,14058.61,14296.6,14009.36
02/25/2022,14189.16,--,13973.9,14193,13850.29
02/24/2022,13974.67,--,13065.44,13989.1,13065.44
02/23/2022,13509.43,--,14016.94,14035.93,13502.58
02/22/2022,13870.53,--,13892.81,14109.26,13720.92
02/18/2022,14009.54,--,14207.55,14225.72,13918.76
02/17/2022,14171.74,--,14485.08,14497.46,14155.43
02/16/2022,14603.64,--,14514.84,14647.79,14399.29
02/15/2022,14620.82,--,14482.11,14624.53,14444.46
02/14/2022,14268.59,--,14233.4,14400.78,14119.73
02/11/2022,14253.84,--,14739.46,14769.64,14194.54
02/10/2022,14705.64,--,14770.67,15037.26,14636.62
02/09/2022,15056.96,--,14930.99,15057.9,14870.36
02/08/2022,14747.03,--,14533.25,14785.22,14485.78
02/07/2022,14571.25,--,14716.43,14813.86,14524.63
02/04/2022,14694.35,--,14566.28,14832.05,14452.28
02/03/2022,14501.11,--,14693.85,14856.51,14471.2
02/02/2022,15139.74,--,15173.03,15196.4,14960.85
02/01/2022,15019.68,--,14966.6,15034.42,14749.49
01/31/2022,14930.05,--,14505.07,14934.52,14442.88
01/28/2022,14454.61,--,14091.31,14457.78,13880.48
01/27/2022,14003.11,--,14346.46,14419.45,13972.88
01/26/2022,14172.76,--,14492.52,14646.54,14006.4
01/25/2022,14149.12,--,14237.6,14410.43,14033.81
01/24/2022,14509.58,--,14160.91,14532.57,13724.85
01/21/2022,14438.4,--,14728.66,14868.45,14432.64
01/20/2022,14846.46,--,15176.38,15347.62,14832.69
01/19/2022,15047.84,--,15287.25,15382,15038.43
01/18/2022,15210.76,--,15378.06,15446.3,15182.96
01/14/2022,15611.59,--,15396.47,15617.18,15396.47
01/13/2022,15495.62,--,15970.09,15990.38,15468.09
01/12/2022,15905.1,--,15955.48,16017.39,15815.95
01/11/2022,15844.12,--,15582.72,15848.56,15496.91
01/10/2022,15614.43,--,15383.18,15627.92,15165.53
01/07/2022,15592.19,--,15774.13,15835,15526.8
01/06/2022,15765.36,--,15675.22,15900.6,15608.57
01/05/2022,15771.78,--,16190.55,16249.23,15763.84
01/04/2022,16279.73,--,16513.87,16513.87,16151.9
01/03/2022,16501.77,--,16395.51,16504.14,16306.64
